correct,student_id,Text,,Feature Vectors,Other Strategy,,
TRUE,Student 90,"Due to the fact that acceleration is the rate of change of velocity when looking at the parabolic shape of the velocity-time graph, it was evident that the graph started off with a negative slope, hence negative acceleration, then moved on to a positive slope, hence positive acceleration. This behavior is depicted by a linear graph.",1,"(0,0,0,0,0,0,1)",1,00:52,
TRUE,Student 47,It shows the slope of the given velocity,1,"(0,0,0,0,0,0,0)",1,17:48,
TRUE,Student 61,"Since acceleration is the derivative of velocity, one must look how the slope of the velocity graph changes over time to determine the acceleration graph. The slope of the velocity graph is negative until it reaches zero, and then the slope is positive. The slope also decreases until it reaches zero, and then it increases again. These characteristics are shown in the acceleration graph I chose. It is negative until it reaches zero. The graph also changes from being far from zero, to close to zero, to far again.",1,"(0,0,0,0,0,0,1)",1,53:07,Acceleration is the derivative of velocity. 
TRUE,Student 4,"The first acceleration vs. time graph indicates that the velocity decreases before t=0 and then increases in the opposite direction after t=0. The second graph indicates that the velocity increases throughout the time period, but at a decreasing rate before t=0 and at an increasing rate after t=0. The first graph must represent this scenario since the velocity vs. time graph depicts a decreasing velocity before t=0.",1,"(0,0,0,0,0,0,1)",0,33:03,
TRUE,Student 51,"Acceleration is equal to the rate of change in velocity. On the left side of the graph, the velocity is decreasing, so the acceleration is negative. On the right side of the graph, the velocity is increasing, so the acceleration is positive.",1,"(0,0,0,0,0,0,1)",1,13:15,Acceleration is equal to the rate of change in velocity.
TRUE,Student 87,"The derivative of the velocity graph is acceleration, and the slope starts negative, is 0 at t=0, and becomes positive after that.",1,"(0,0,0,0,0,0,0)",1,28:50,The derivative of the velocity graph is acceleration. 
TRUE,Student 28,"The function for acceleration is the derivative of the velocity function. This means that the acceleration graph comprises of many different instantaneous slopes on the velocity graph. Since velocity is decreasing when t<0, this means that the slope is negative, and the graph for acceleration will have to go below the x-axis when t<0.",1,"(0,0,0,0,0,0,1)",1,25:14,The derivative of the velocity graph is acceleration. 
TRUE,Student 104,"Acceleration is the slope of velocity. Since the velocity is decreasing, that means acceleration is negative, and when velocity is increasing, acceleration is positive.",1,"(0,0,0,0,0,0,1)",1,32:58,The derivative of the velocity graph is acceleration. 
TRUE,Student 64,Acceleration is equivalent to the slope of the velocity graph. The slope of the velocity graph starts out negative and gets progressively more level as it approaches t=0. After t=0 the slope becomes positive. The first acceleration graph mirrors this pattern; it starts negative and changes to positive at t=0.,1,"(0,0,0,0,0,0,1)",1,20:16,The derivative of the velocity graph is acceleration. 
TRUE,Student 82,"An acceleration graph reflects the derivative of the velocity graph. So you can ignore the displacement graph and look at the velocity. You'll find that the slope on v(t) begins negative, reaches 0, and then becomes positive. This means that the a(t) graph should begin negative, cross the x-axis, and then end positive.",1,"(0,0,0,0,0,0,1)",1,22:24,The derivative of the velocity graph is acceleration. 
