correct,student_id,Text,Uncertainty,Feature Vectors,Other Strategy,Time
TRUE,Student 29,"They hit the ground at the same time because vertical motion behaves independently of horizontal motion, and they both have the same vertical acceleration, initial velocity, and initial and final displacement.",3,"(1,1,0,0,1,1,1,1,0,0,0)",1,25:41
TRUE,Student 47,The initial velocity is the same and the only force on the ball is gravity which is constant.,3,"(1,0,1,0,0,0,0,0,1,0,0)",0,01:03:45
TRUE,Student 23,"The horizontal motion and vertical motion are independent of each other. Since the two balls with the same initial velocity (which is zero) are launched at exactly the same time, and experience free-fall in the vertical direction with the acceleration of g=9.8m/s^2, they should hit the ground at the same time, no matter the initial speed given horizontally on the second ball.",3,"(1,1,0,0,1,1,1,1,0,0,0)",1,42:34
TRUE,Student 34,"The x and y components are completely independent of each other for both balls. Since both balls have the same initial height, and once they are in the air, the only force acting upon them is gravity, they will hit the ground at the same time.",3,"(1,1,1,1,0,0,0,0,1,1,0)",1,53:58
TRUE,Student 90,Both land at the same time as the horizontal velocity of the ball is not only constant but independent of the vertical velocity of the ball that undergoes the same constant acceleration of the other ball that is thrown directly up.,3,"(1,1,0,0,0,0,0,0,0,0,0)",1,25:34
TRUE,Student 59,Both balls are in freefall and are only being influenced by gravity so they will both experience the same downward acceleration of 9.8 m/s^2,3,"(1,1,1,1,1,1,1,1,1,1,1)",0,37:33
TRUE,Student 27,"Since the balls are dropped and launched from the same height, they will both hit at the same time because the only acceleration acting on them is gravity. The horizontal velocities of the balls do not matter because the vertical and horizontal projectiles are independent",3,"(1,1,1,1,0,0,1,1,0,0,0)",1,22:47
TRUE,Student 39,"Projectile motion can be understood as the motion of free-fall objects on a constant moving platform with the train example. This question proves that the time it takes for a ball falling from it's highest point to reach the ground, regardless of horizontal displacement, is the same.",3,"(0,1,0,0,0,1,0,0,0,0,0)",0,26:14
TRUE,Student 88,"Because both balls are effected by the same force of gravity, it doesn't matter whether there is movement in the x direction or not, they will hit the ground at the same time. They are both getting pulled down by the same force of gravity, and therefore if they were dropped at the same time they will hit the ground at the same time.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,32:28
TRUE,Student 3,"The balls will hit the ground at the same time because the ball that is being launched is being launched in the x direction. Therefore, the velocity in the y direction will be equal to that of the ball that is dropped off of the platform. No additional force is being applied to the y direction of the launched ball that will alter the rate at which it falls.",3,"(1,1,0,0,1,1,0,0,0,0,0)",0,46:26
TRUE,Student 76,"What makes the ball fall is gravity and the gravitational acceleration is the same for both balls. The horizontal and vertical motion that the balls follow are independent of each other, so it doesn't matter that one might travel more horizontally than the other.",3,"(1,1,1,1,0,0,1,1,0,0,0)",1,32:28
TRUE,Student 51,"Since gravity has the same effect on both balls, both balls have the same vertical acceleration. The first ball was launched horizontally, meaning both balls have an initial vertical velocity of 0 and will reach the ground at the same time.",3,"(1,1,1,1,0,0,1,1,1,1,0)",0,17:45
TRUE,Student 64,"An objects motion can be broken into vertical and horizontal components. In both cases, gravity is the only thing affecting the ball's vertical motion so the balls will accelerate downward at the same rate and hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",1,10:57
TRUE,Student 31,"Since both balls leave the platform at the same time and both begin with a velocity in the y-direction of 0, they will reach the ground at the same time; gravity is the only force acting on both objects in the y-direction, so both balls will have the same y-velocity at every point in their respective trajectories.",3,"(1,1,1,1,0,0,0,0,0,0,0)",0,32:22
TRUE,Student 104,"Since the questions asks which ball hits the ground first, that is talking about the vertical motion. They are both launched or dropped at the same time from the same height and experience the same gravity so it will take the same amount of time for the balls to hit the ground.",3,"(1,1,1,1,0,0,0,0,0,0,0)",0,43:57
TRUE,Student 28,"How quickly the ball drops to the floor depends on the acceleration, initial height, and initial velocity of the balls in the y-direction. Both balls have an initial velocity of 0 unit/s: the dropped ball is let go from rest and the launched ball has no initial vertical velocity since its initial velocity is only put in the horizontal direction. Furthermore, the acceleration that both balls will have is the same since they are both only acted upon by gravity, which is the same everywhere. The picture also shows that the initial height of the ball is the same. Therefore, the balls will land at the same time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,23:36
TRUE,Student 6,"The balls will hit the ground at the same time because they both start off with an initial velocity of zero. As the balls are launched off, gravity acts on the balls forcing them to go downwards. They have the same acceleration downwards and therefore will hit the ground at the same time.",3,"(1,1,1,1,1,1,1,1,0,0,0)",0,04:11
TRUE,Student 77,Both balls are falling from the same height and since gravity is acting equally on both of the balls they reach the bottom at the same time,3,"(1,1,1,1,0,0,0,0,0,0,0)",0,19:24
TRUE,Student 81,"In the lecture videos it described the X and y components of an object as independent, since the balls are being released from the same height, their time in the air will be the same, despite one of the balls also moving horizontally.",3,"(1,1,0,0,1,1,0,0,0,0,0)",1,27:11
TRUE,Student 78,"Since the force of gravity takes effect on both balls, they will therefore hit the ground at the same time.",3,"(1,1,1,1,0,0,0,0,0,0,0)",0,45:06
TRUE,Student 62,"I thought both hit at the same time because, as the video with the guy on the train showed, the vertical and horizontal components of an objects motion do not affect each other. So, I figured that as long as they are dropped from the same height at the same time, they will hit the ground at the same time too.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,39:50
TRUE,Student 65,"Once the ball leaves the stand, if one is dropped and one is launched off, both balls will still hit the ground at the same time. Both balls will hit the ground at the same time because the only forces acting upon the balls, Excluding air and wind resistance, is gravity. Gravity applies a constant pressure on the balls at 9.81m/s^2.",3,"(1,1,1,1,0,0,0,0,0,0,0)",0,26:38
TRUE,Student 38,"I said that both balls hit the ground at the same time because of the principal of superposition. Horizontal motion and vertical motion are completely independent of one another, so it doesn't matter that the second ball was thrown horizontally. We only want to think about the VERTICAL motion of the balls, which remains unchanged in both scenarios, and thus they'd hit the ground at the same time because the only force acting on them is acceleration due to gravity, at least in the y direction.",3,"(1,1,1,1,1,1,1,1,0,0,0)",1,25:05
TRUE,Student 37,"Because perpendicular vectors don't affect each other, as long as both initial velocities in the y direction are 0, acceleration due to gravity should affect both projectiles in the same manner and will cause them to fall to the ground at the same time.",3,"(0,0,0,0,0,0,0,0,0,0,0)",1,21:32
TRUE,Student 42,"Since vertical and horizontal motion are independent of each other, and both balls are being dropped/launched at the same height, they will hit the ground simultaneously.",3,"(1,1,0,0,0,0,0,0,0,0,0)",1,33:15
TRUE,Student 14,The concept of superposition comes into this question because both x and y components act independently of each other. So both of the balls are going to hit the ground at the same time regardless of the velocities acting on the balls.,3,"(1,1,0,0,0,0,0,0,0,0,0)",1,31:00
TRUE,Student 58,"The horizontal motion of the second ball is independent of its vertical motion, meaning that its path would appear the same as the first ball's if you rotated this image 90 degrees. This is an example of the concept of superposition - the second ball is almost like the ball tossed in the air by the person on the train in the example in the prelecture. So, its vertical motion would be unaffected by its horizontal motion.",3,"(1,1,0,0,1,1,0,0,0,0,0)",1,30:06
TRUE,Student 8,Horizontal velocity has no effect on vertical position. The ball launched horizontally will experience the same gravitational force as the ball dropped vertically.,3,"(1,1,1,1,1,1,0,0,0,0,0)",1,34:15
TRUE,Student 41,"I believe that both balls will hit at the same time because the velocity of the balls does not matter in the case of which ball will hit the ground first. Since gravity is acting on both of the balls, they will both hit the ground at the same time because are decreasing altitude by 9.8 m/s2.",3,"(1,1,1,1,0,0,1,1,1,1,1)",0,49:27
TRUE,Student 87,"The time to hit the ground for both balls is based only on the vertical component of the velocity vector. Since they are both starting from rest (V0 = 0), from the same height, and are both subject to gravity's 9.8 m/s^2 downward acceleration, they will hit the ground at the same time. The launched ball's horizontal Velocity component doesn't affect it's downward motion.",3,"(1,1,1,1,1,1,1,1,1,1,1)",1,43:57
TRUE,Student 9,"As we learned in the pre-lectures, both balls would fall and hit the ground at the same time as the only force (in this case) acting on them would be gravity an acceleration of -9.8m/s^2 (or -10 m/s^2). This seemed confusing at first because I wanted to believe that the direction (all vertical or horizontal fall) would cause the balls to land at different times, i.e. direction at which the ball is thrown makes the ball fall slower. But as I thought of the video of the person throwing the ball on the train, I was able to understand how the horizonal versus vertical fall does not cause a differing landing time.",3,"(1,1,1,1,1,1,1,1,1,1,1)",0,22:25
TRUE,Student 24,"The only force acting on the balls is the gravitational pull of 10 m/s^2 (in the vertical direction) and since they are being released from the same height, they should hit the ground at the same time. I was initially confused because if you were to look at the distance that was going to be traveled by the two balls, the one being thrown horizontally would be travelling the longest distance, so one would think that it would take longer to hit the ground.",3,"(1,1,1,1,1,1,0,0,0,0,0)",0,26:34
